Site,Median,Median_Percentile,Median_p-value,Mean,Mean_Percentile,Mean_p-value
1,-0.03,0.174,0.826,0.018095152,0.717,0.283
2,-0.03,0.142,0.858,-0.062830657,0.037,0.963
3,0.05,0.968,0.032,0.042248741,0.93,0.07
4,0.17,0.977,0.023,0.129668962,1,0
5,0.00,0.576,0.424,-0.018479211,0.253,0.747
6,-0.05,0.027,0.973,-0.082294941,0.001,0.999
7,-0.09,0,1,-0.096341575,0.001,0.999
8,-0.06,0.039,0.961,-0.043903751,0.089,0.911
9,0.02,0.726,0.274,0.012090709,0.775,0.225
10,-0.02,0.16,0.84,-0.021666839,0.199,0.801
11,0.08,0.999,0.001,0.084185217,1,0
