chr_snp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
CE10_chr1_2135332,15,1,10,0,6,8,8,2,7,7,4,0,16,0,8,0,18,0,18,0,17,3,20,0,22,0,18,0,20,0,14,0,18,0,10,0,8,0,4,0,9,1,6,0,5,7,10,10,13,7,1,7,4,0,2,0,6,2,2,0,2,0,14,0,20,0,16,4,14,0,13,1,16,0,4,0,10,0,4,2,8,0,2,0,10,0,4,0,8,0,16,0,7,1,14,0,20,0,4,0,2,0,4,0,6,0,2,0,20,0
CE10_chr1_5277209,16,2,10,0,8,6,9,1,12,2,8,12,14,2,5,3,16,2,14,6,17,3,20,0,21,1,20,0,19,1,14,0,12,6,10,0,8,0,3,1,8,2,3,5,11,1,1,19,12,8,6,2,3,1,2,0,6,2,2,2,0,2,13,1,20,0,18,2,14,2,17,1,18,2,4,0,12,8,6,4,6,2,20,0,5,5,2,2,7,1,16,0,4,6,6,8,16,4,4,2,2,0,4,0,6,0,2,0,17,3
CE10_chr1_41675430,6,8,7,1,4,10,3,7,3,9,2,18,0,16,0,8,8,10,0,16,0,20,16,4,12,2,3,13,10,8,5,3,15,3,3,7,1,5,3,1,10,0,5,3,10,2,6,12,5,15,3,5,0,4,0,2,1,7,4,0,1,1,8,6,0,20,2,18,0,16,2,16,2,18,2,2,6,14,5,5,0,8,8,10,3,7,0,4,2,6,8,8,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,1,19
CE10_chr1_43567622,16,0,8,2,14,0,10,0,14,0,20,0,16,0,8,0,18,0,19,1,20,0,20,0,17,5,12,6,14,6,11,1,17,1,6,2,6,2,4,0,10,0,7,1,12,0,15,3,17,3,8,0,4,0,2,0,7,1,4,0,2,0,5,5,17,3,20,0,16,0,16,0,20,0,4,0,19,1,9,1,8,0,18,0,10,0,4,0,7,1,11,5,10,0,14,0,14,6,6,0,2,0,4,0,6,0,2,0,20,0
CE10_chr2_5610773,8,0,0,0,6,0,6,0,14,0,6,0,16,0,0,0,4,0,0,0,0,0,10,0,4,0,2,0,4,0,0,0,5,1,0,0,0,0,2,0,4,0,2,0,2,0,20,0,8,0,0,0,2,0,0,0,2,0,4,0,2,0,2,0,14,0,10,0,16,0,12,0,14,0,2,0,6,0,4,0,6,0,16,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
CE10_chr2_7573753,13,5,7,1,9,5,0,10,8,4,8,8,12,4,0,8,13,3,0,8,8,10,19,1,21,1,18,0,19,1,13,1,18,0,8,2,8,0,3,1,5,3,6,0,2,10,16,2,16,4,2,6,4,0,0,2,7,1,2,0,2,0,10,4,17,3,11,7,9,5,9,9,20,0,4,0,18,2,8,0,0,6,20,0,2,8,2,0,2,6,9,1,5,3,4,10,2,8,4,0,0,2,1,3,2,4,1,1,6,4
CE10_chr2_18263918,14,4,7,1,11,3,8,2,11,3,8,10,16,0,6,2,14,2,4,16,15,5,20,0,22,0,20,0,20,0,14,0,18,0,10,0,8,0,4,0,2,6,4,4,5,5,13,7,10,10,6,2,3,1,1,1,5,3,1,3,0,2,10,4,14,6,9,9,14,2,10,6,11,9,4,0,6,12,6,4,0,8,17,3,4,6,4,0,3,5,6,10,6,4,9,5,17,3,0,6,2,0,1,3,5,1,2,0,18,2
CE10_chr2_51417787,0,18,0,10,1,13,0,8,3,11,0,18,0,16,0,6,1,17,11,7,0,20,0,20,0,22,0,20,0,20,0,14,0,18,5,5,0,8,0,2,4,6,3,5,0,12,0,20,1,19,0,8,0,4,0,0,3,5,2,2,2,0,2,10,0,20,1,19,0,16,0,18,0,14,0,4,0,20,1,9,4,4,0,18,7,3,0,4,3,5,10,4,5,5,5,9,11,9,3,3,1,1,3,1,1,5,0,2,1,19
CE10_chr2_51733822,18,0,10,0,12,2,8,2,14,0,20,0,16,0,5,3,13,5,5,11,13,7,20,0,22,0,20,0,20,0,14,0,18,0,10,0,8,0,4,0,10,0,8,0,12,0,20,0,20,0,8,0,1,1,1,1,8,0,4,0,2,0,14,0,20,0,20,0,15,1,16,0,20,0,4,0,18,0,8,0,8,0,4,0,10,0,4,0,7,1,15,1,8,0,4,6,4,16,5,1,1,1,1,3,4,2,2,0,19,1
CE10_chr3_7420955,11,7,5,1,14,0,10,0,12,2,20,0,15,1,8,0,18,0,20,0,17,3,19,1,9,13,4,14,0,18,0,14,15,3,10,0,1,7,4,0,10,0,8,0,12,0,20,0,20,0,8,0,4,0,2,0,8,0,4,0,2,0,14,0,20,0,20,0,16,0,18,0,20,0,4,0,16,2,10,0,8,0,18,0,10,0,4,0,8,0,16,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,1,1,20,0
