chr_snp	Chromosome	SNP	Env	BF	empirical_p	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110
CE10_chr1_12558579	CE10_chr1	12558579	2	11.82759873	0.00182383675339437	10	8	6	2	14	0	10	0	10	0	20	0	14	2	8	0	16	0	20	0	18	0	18	0	0	16	0	16	3	13	3	9	13	3	6	0	7	1	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	8	0	4	0	2	0	14	0	20	0	20	0	16	0	18	0	20	0	4	0	18	0	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	14	0	20	0	4	0	2	0	4	0	2	0	0	0	20	0
CE10_chr1_36921933	CE10_chr1	36921933	2	30.28597277	2.457751027962196e-5	1	13	0	10	13	1	2	4	5	7	11	7	10	6	5	3	5	13	7	11	3	15	0	20	0	22	0	20	0	16	0	10	0	16	0	10	1	7	0	4	4	4	4	2	0	8	5	15	10	10	1	7	3	1	2	0	7	1	4	0	1	1	11	1	18	2	16	4	9	7	15	3	12	8	4	0	7	13	4	6	5	3	8	12	10	0	4	0	2	4	8	8	4	6	6	8	11	9	5	1	0	0	3	1	6	0	2	0	10	10
CE10_chr1_37863528	CE10_chr1	37863528	2	31.04201904	1.9476517580052644e-5	2	6	0	8	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	4	0	20	0	18	4	12	1	19	10	4	0	14	0	10	0	6	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	10	0	10	0	6	0	0	0	6	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE10_chr1_38801440	CE10_chr1	38801440	2	19.7880608	2.9539384996501994e-4	7	11	7	3	13	1	5	5	12	2	7	13	12	4	0	8	9	9	3	17	5	15	18	0	15	7	10	8	4	14	0	14	18	0	8	0	6	2	4	0	9	1	6	2	4	8	17	3	16	4	5	3	4	0	2	0	4	4	4	0	2	0	7	5	19	1	5	13	0	16	7	11	6	14	3	1	12	8	6	4	2	6	16	4	7	3	4	0	5	3	12	4	1	9	2	12	7	13	0	6	0	0	3	1	6	0	0	0	8	12
CE10_chr1_38804192	CE10_chr1	38804192	2	35.28244225	8.810805571912717e-6	18	0	10	0	13	1	5	5	14	0	8	12	15	1	0	8	9	9	2	18	4	14	20	0	17	1	17	1	20	0	14	0	18	0	10	0	8	0	4	0	9	1	6	2	8	4	15	3	15	3	5	3	4	0	2	0	6	2	4	0	2	0	11	3	20	0	4	10	0	16	9	7	6	14	3	1	15	5	6	2	2	6	19	1	9	1	4	0	5	3	11	5	1	9	3	11	6	14	0	6	0	2	4	0	6	0	2	0	8	10
CE10_chr1_38806089	CE10_chr1	38806089	2	17.07070766	5.351405068438897e-4	0	4	1	3	8	4	6	4	9	1	17	1	13	1	8	0	12	6	20	0	15	3	0	4	0	6	0	4	0	8	0	2	0	14	0	8	0	8	0	2	7	3	7	1	8	4	5	15	9	9	6	0	0	4	0	2	4	4	2	2	2	0	4	10	2	18	20	0	16	0	11	5	17	1	0	2	16	2	4	4	8	0	14	6	7	3	4	0	6	2	5	11	10	0	14	0	15	5	6	0	2	0	0	4	0	6	2	0	15	5
CE10_chr1_38806913	CE10_chr1	38806913	2	12.48439421	0.00156832339180768	3	1	2	6	12	2	10	0	8	0	17	1	12	2	8	0	12	6	20	0	13	3	0	6	0	2	0	0	0	2	0	0	0	12	0	6	0	6	0	2	10	0	8	0	10	2	20	0	14	6	8	0	0	0	0	2	7	1	2	2	1	1	6	8	18	0	20	0	12	0	12	4	20	0	2	2	16	2	5	3	8	0	17	1	4	0	3	1	5	3	6	6	10	0	14	0	14	4	6	0	2	0	1	3	0	6	2	0	17	1
CE10_chr1_38807405	CE10_chr1	38807405	2	21.20413543	2.1006815389967848e-4	18	0	9	1	12	0	7	3	12	0	12	6	15	1	4	4	8	10	2	12	8	12	20	0	22	0	20	0	20	0	12	2	18	0	10	0	8	0	4	0	10	0	6	2	7	3	20	0	19	1	6	0	4	0	2	0	8	0	4	0	2	0	13	1	20	0	12	6	3	11	6	10	5	9	3	1	15	5	8	0	8	0	16	4	10	0	4	0	6	2	14	2	1	9	2	12	6	14	0	6	0	0	3	1	6	0	0	2	8	12
CE10_chr1_38809930	CE10_chr1	38809930	2	18.67912465	3.7422737350345514e-4	15	3	4	6	12	2	10	0	14	0	19	1	13	3	8	0	11	5	20	0	16	2	0	6	10	2	6	0	16	2	14	0	0	14	0	8	3	5	0	2	10	0	8	0	11	1	20	0	14	6	8	0	0	4	0	2	7	1	2	2	2	0	9	5	20	0	18	0	16	0	10	2	20	0	2	2	18	2	8	2	8	0	17	3	9	1	3	1	5	3	6	10	10	0	14	0	14	6	6	0	2	0	0	2	0	6	2	0	16	2
CE10_chr1_42800221	CE10_chr1	42800221	2	33.28342103	1.3448071662480743e-5	17	1	10	0	13	1	8	2	12	2	12	8	10	6	8	0	15	3	13	7	14	4	19	1	21	1	16	2	17	3	12	2	16	0	10	0	8	0	4	0	8	2	8	0	11	1	19	1	16	4	8	0	4	0	2	0	8	0	2	2	0	0	13	1	14	4	20	0	13	1	18	0	4	16	3	1	13	7	7	3	7	1	7	13	10	0	4	0	8	0	14	2	8	2	5	7	7	13	4	2	2	0	4	0	4	2	1	1	17	3
