chr_snp	Chromosome	SNP	Env	BF	empirical_p	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110
CE10_chr1_397849	CE10_chr1	397849	4	34.33967434	4.1735394814557125e-6	3	11	3	3	9	5	6	4	9	3	11	7	13	1	6	0	3	5	18	2	17	1	2	12	1	13	1	17	4	6	1	13	6	12	1	9	0	6	0	2	4	6	2	6	3	9	14	6	6	10	7	1	3	1	2	0	3	5	1	1	0	0	7	7	17	3	5	15	14	2	14	2	15	5	3	1	8	12	6	4	0	6	20	0	4	2	2	2	4	2	1	15	0	6	14	0	16	0	6	0	2	0	4	0	6	0	2	0	13	3
CE10_chr1_39810526	CE10_chr1	39810526	4	33.50166679	5.100992699569318e-6	4	14	3	7	5	9	3	7	6	8	0	20	0	16	0	8	3	15	0	18	10	10	10	10	1	17	4	14	1	17	1	13	4	12	8	2	0	8	0	4	0	8	5	3	1	9	0	20	3	17	2	6	0	4	0	2	0	8	0	4	0	2	2	10	11	7	0	20	0	16	6	10	2	18	0	4	0	18	0	10	3	5	0	16	0	10	2	2	2	6	0	16	0	10	5	9	17	3	4	2	1	1	1	3	1	5	0	2	12	8
CE10_chr2_18318806	CE10_chr2	18318806	4	12.92832977	7.447449341345669e-4	6	12	1	9	12	2	8	2	10	4	13	7	15	1	5	3	16	2	1	15	11	7	0	20	0	22	2	16	3	13	5	7	4	14	5	5	3	5	4	0	3	7	4	4	5	7	13	7	11	7	5	3	4	0	1	1	5	3	1	3	0	2	7	7	14	6	7	11	15	1	10	4	10	10	3	1	7	13	4	6	0	8	17	3	4	4	3	1	5	3	7	9	5	5	10	4	17	3	2	4	2	0	0	2	5	1	1	1	19	1
CE10_chr2_18320997	CE10_chr2	18320997	4	10.56647715	0.0013290404615378115	0	4	0	2	11	3	8	2	8	4	10	10	14	0	5	3	16	2	4	14	9	7	0	0	0	0	0	0	2	0	2	0	2	0	2	0	2	0	4	0	2	8	4	2	5	7	13	7	14	6	5	3	3	1	1	1	5	3	1	3	0	2	8	6	13	5	10	10	13	3	10	6	8	10	3	1	5	11	3	7	0	8	19	1	3	3	3	1	4	4	6	10	5	5	10	4	17	3	1	3	2	0	1	3	5	1	2	0	19	1
CE10_chr2_18334257	CE10_chr2	18334257	4	31.84399238	6.955899135796528e-6	2	4	2	2	12	2	9	1	8	4	9	9	12	0	5	3	15	3	3	17	8	6	0	0	0	0	2	0	4	0	4	0	4	0	4	0	2	0	2	0	3	7	4	4	5	7	12	8	12	8	6	2	3	1	1	1	6	2	1	3	0	2	9	5	15	5	8	12	14	2	9	7	7	11	4	0	6	12	3	7	0	8	16	2	5	3	3	1	4	4	6	10	3	5	9	3	19	1	1	5	2	0	1	3	4	2	0	0	18	2
CE10_chr2_18538457	CE10_chr2	18538457	4	14.24478629	5.462699454611419e-4	3	13	1	9	11	3	6	2	8	4	13	7	14	2	5	3	15	3	2	16	10	8	0	20	0	16	1	19	4	12	6	8	4	12	6	4	2	6	1	1	2	8	4	4	7	5	6	8	13	7	5	3	3	1	1	1	4	2	1	3	0	2	6	6	13	7	9	11	14	2	8	10	10	10	1	1	6	14	5	5	0	8	17	3	5	5	1	1	4	4	6	10	5	5	7	7	16	2	0	4	2	0	1	3	3	3	1	1	16	2
CE10_chr2_18541368	CE10_chr2	18541368	4	12.26616727	8.690236653600136e-4	6	12	1	9	10	2	8	2	9	5	11	9	13	3	5	3	15	3	2	18	11	9	0	20	0	22	1	19	3	17	5	9	4	14	6	4	2	6	3	1	2	8	4	4	6	6	12	6	13	5	4	2	3	1	1	1	6	2	2	2	0	2	8	6	15	5	8	12	15	1	10	6	9	11	3	1	6	14	4	6	0	8	18	2	5	5	2	0	4	4	6	10	5	5	9	5	18	2	2	4	2	0	1	3	3	3	2	0	16	0
CE10_chr2_18541444	CE10_chr2	18541444	4	19.40448996	1.6462294621277795e-4	6	12	1	9	11	3	8	2	9	5	9	11	13	3	5	3	13	3	3	17	11	9	0	20	0	22	1	19	5	15	5	9	4	14	5	5	2	6	2	2	2	8	4	4	5	7	12	6	15	5	6	0	3	1	0	2	5	3	2	2	0	2	6	2	11	5	8	10	13	1	10	6	8	12	3	1	5	13	5	3	0	8	17	1	6	4	2	0	4	4	6	10	5	5	8	6	18	2	2	4	2	0	1	3	4	2	2	0	19	1
CE10_chr2_18610986	CE10_chr2	18610986	4	13.16014929	7.067193521924642e-4	7	11	1	9	11	3	8	2	9	5	8	12	14	2	6	2	14	2	2	18	11	9	0	16	1	19	0	18	4	14	4	10	5	13	7	3	4	4	3	1	2	8	4	4	5	7	13	7	13	7	4	4	3	1	1	1	5	3	1	3	0	2	7	5	12	6	9	9	14	2	8	8	12	8	2	2	5	13	3	5	0	8	18	2	6	4	3	1	4	4	6	10	6	4	7	7	18	2	1	5	2	0	2	2	4	2	1	1	18	2
CE10_chr2_18734382	CE10_chr2	18734382	4	17.22359106	2.6942515985817206e-4	6	10	1	9	12	2	8	2	8	4	10	10	14	2	8	0	15	3	4	12	11	9	0	20	0	22	1	17	3	15	5	7	4	12	5	5	2	6	2	0	2	8	4	4	11	1	12	6	12	6	4	2	3	1	1	1	4	4	1	3	0	2	11	3	9	5	9	11	14	2	11	7	10	10	3	1	6	12	4	6	2	6	18	2	7	3	4	0	3	3	7	9	5	5	14	0	18	2	1	5	2	0	1	3	4	2	2	0	19	1
CE10_chr2_18736576	CE10_chr2	18736576	4	12.52039743	8.180137383645425e-4	6	12	1	9	11	3	8	2	9	5	13	5	13	3	8	0	18	0	7	13	10	10	0	20	0	22	1	17	0	20	6	8	4	14	6	4	1	5	0	2	3	7	4	4	11	1	13	7	11	7	6	2	3	1	1	1	6	2	2	2	0	2	9	5	15	5	8	10	16	0	10	6	13	7	3	1	7	11	5	5	2	6	18	2	6	4	3	1	4	4	9	7	5	5	14	0	17	3	1	5	2	0	1	3	3	3	2	0	19	1
CE10_chr2_18739008	CE10_chr2	18739008	4	10.79031358	0.0012539167508717197	4	14	1	9	11	3	8	2	9	5	10	10	14	2	8	0	17	1	7	13	8	10	0	18	0	22	1	17	4	14	4	8	4	14	4	6	2	6	1	1	2	8	4	4	11	1	13	7	13	7	4	4	3	1	1	1	6	2	1	3	0	2	7	3	13	7	8	10	14	2	11	7	13	7	3	1	6	14	6	4	2	6	11	5	6	4	3	1	5	3	7	9	3	7	14	0	18	2	2	4	2	0	2	2	5	1	1	1	20	0
