chr_snp	Chromosome	SNP	Env	BF	empirical_p	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110
CE10_chr1_37223448	CE10_chr1	37223448	5	31.92751379	1.0665712008139927e-5	16	0	10	0	14	0	7	3	14	0	20	0	16	0	8	0	13	5	18	0	9	11	20	0	22	0	20	0	18	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	10	0	20	0	20	0	8	0	4	0	2	0	8	0	4	0	2	0	14	0	18	0	20	0	16	0	16	0	20	0	4	0	20	0	9	1	8	0	18	0	10	0	4	0	7	1	16	0	8	2	12	2	16	2	6	0	2	0	3	1	3	1	2	0	15	5
CE10_chr1_38804192	CE10_chr1	38804192	5	14.75100046	5.713111823498762e-4	18	0	10	0	13	1	5	5	14	0	8	12	15	1	0	8	9	9	2	18	4	14	20	0	17	1	17	1	20	0	14	0	18	0	10	0	8	0	4	0	9	1	6	2	8	4	15	3	15	3	5	3	4	0	2	0	6	2	4	0	2	0	11	3	20	0	4	10	0	16	9	7	6	14	3	1	15	5	6	2	2	6	19	1	9	1	4	0	5	3	11	5	1	9	3	11	6	14	0	6	0	2	4	0	6	0	2	0	8	10
CE10_chr1_38806089	CE10_chr1	38806089	5	10.49604262	0.001673125605453074	0	4	1	3	8	4	6	4	9	1	17	1	13	1	8	0	12	6	20	0	15	3	0	4	0	6	0	4	0	8	0	2	0	14	0	8	0	8	0	2	7	3	7	1	8	4	5	15	9	9	6	0	0	4	0	2	4	4	2	2	2	0	4	10	2	18	20	0	16	0	11	5	17	1	0	2	16	2	4	4	8	0	14	6	7	3	4	0	6	2	5	11	10	0	14	0	15	5	6	0	2	0	0	4	0	6	2	0	15	5
CE10_chr1_38807318	CE10_chr1	38807318	5	12.4486108	0.0010304005253094495	0	16	1	7	10	2	10	0	12	2	17	1	13	3	8	0	14	4	20	0	16	4	0	6	0	10	0	12	0	16	0	14	4	6	0	4	0	8	2	0	10	0	8	0	11	1	20	0	15	5	8	0	0	4	0	2	7	1	2	2	1	1	5	9	19	1	20	0	16	0	10	6	19	1	2	2	16	4	5	1	7	1	16	4	6	4	3	1	5	3	5	11	10	0	14	0	15	5	6	0	2	0	1	3	0	6	2	0	18	2
CE10_chr1_38807405	CE10_chr1	38807405	5	10.02549836	0.0018813388529166364	18	0	9	1	12	0	7	3	12	0	12	6	15	1	4	4	8	10	2	12	8	12	20	0	22	0	20	0	20	0	12	2	18	0	10	0	8	0	4	0	10	0	6	2	7	3	20	0	19	1	6	0	4	0	2	0	8	0	4	0	2	0	13	1	20	0	12	6	3	11	6	10	5	9	3	1	15	5	8	0	8	0	16	4	10	0	4	0	6	2	14	2	1	9	2	12	6	14	0	6	0	0	3	1	6	0	0	2	8	12
CE10_chr1_42286199	CE10_chr1	42286199	5	32.24021852	9.738258790026322e-6	0	16	0	4	4	0	0	0	2	6	10	0	4	2	4	0	2	6	13	1	6	14	0	18	0	20	1	13	0	18	2	10	2	16	0	10	0	6	0	2	0	2	4	2	2	0	2	14	0	6	0	4	1	1	2	0	0	0	2	0	0	0	0	2	1	11	4	2	0	0	4	6	11	1	2	0	3	7	3	3	3	3	2	0	0	6	0	0	2	2	4	0	7	1	2	2	6	8	1	5	2	0	0	2	5	1	0	2	1	13
CE10_chr2_41926519	CE10_chr2	41926519	5	31.69217567	1.112943861725224e-5	2	6	2	4	11	1	10	0	10	0	20	0	14	0	7	1	16	0	12	4	18	0	3	17	0	8	0	12	0	4	0	6	6	6	0	4	0	4	0	0	6	0	2	2	1	3	6	0	16	0	8	0	4	0	0	0	8	0	2	0	2	0	14	0	10	0	10	0	16	0	9	1	16	0	2	0	14	0	10	0	8	0	20	0	6	0	4	0	8	0	16	0	10	0	14	0	18	0	6	0	2	0	4	0	6	0	2	0	16	0
CE10_chr2_52168171	CE10_chr2	52168171	5	34.51015539	6.028445917682923e-6	3	13	0	6	2	10	1	9	2	10	8	10	0	16	3	5	7	9	1	19	0	20	3	9	9	13	8	12	5	15	3	7	7	3	3	7	2	6	1	1	4	6	3	5	0	8	4	14	0	20	0	8	0	4	0	2	0	6	2	2	1	1	7	7	5	15	1	19	3	13	3	13	0	18	0	4	5	13	2	2	1	7	6	10	5	5	2	2	3	5	7	9	0	10	2	12	0	20	0	6	0	0	0	4	0	6	0	2	0	20
CE10_chr3_21997815	CE10_chr3	21997815	5	41.04987262	9.274532181136053e-7	18	0	10	0	10	0	10	0	14	0	17	3	11	5	6	2	15	3	14	6	12	8	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	8	2	8	0	12	0	20	0	20	0	8	0	4	0	2	0	8	0	4	0	2	0	13	1	17	3	20	0	12	4	13	5	18	2	4	0	18	0	8	0	3	3	20	0	5	5	4	0	6	2	12	4	3	7	14	0	10	10	1	5	2	0	4	0	6	0	2	0	14	4
CE10_chr3_36301179	CE10_chr3	36301179	5	32.01216633	1.0201985399138636e-5	6	10	2	6	12	0	10	0	12	2	20	0	14	0	8	0	18	0	20	0	18	2	3	17	17	3	15	1	5	1	10	2	3	11	2	6	4	0	0	0	10	0	8	0	11	1	20	0	20	0	8	0	4	0	2	0	8	0	4	0	2	0	14	0	20	0	20	0	16	0	18	0	20	0	4	0	17	3	9	1	8	0	20	0	10	0	4	0	8	0	16	0	10	0	14	0	18	0	6	0	2	0	4	0	6	0	2	0	20	0
